"id","country_id:id","state_id:id","zone_id:id","name","code"
city_et_1,base.et,base.state_et_3,zone_nwr,"Bahirdar","1"
city_et_2,base.et,base.state_et_3,zone_nwr,"Bichena","2"
city_et_3,base.et,base.state_et_3,zone_nwr,"Enjibara","3"
city_et_4,base.et,base.state_et_3,zone_nwr,"Debremarkos","4"
city_et_5,base.et,base.state_et_3,zone_ner,"Dessei","5"
city_et_6,base.et,base.state_et_3,zone_ner,"Kombolcha","6"
city_et_7,base.et,base.state_et_3,zone_ner,"Woldiya","7"
city_et_8,base.et,base.state_et_3,zone_ner,"Lalibela","8"
city_et_9,base.et,base.state_et_3,zone_nnwr,"Gonder","9"
city_et_10,base.et,base.state_et_3,zone_nnwr,"Debretabor","10"
city_et_11,base.et,base.state_et_3,zone_nnwr,"Debarl","11"
city_et_12,base.et,base.state_et_3,zone_nnwr,"Gendewha","12"
city_et_13,base.et,base.state_et_3,zone_cnr,"Debrebrhan","13"
city_et_14,base.et,base.state_et_3,zone_cnr,"Fiche","14"
city_et_15,base.et,base.state_et_3,zone_cnr,"Sululta","15"
city_et_16,base.et,base.state_et_3,zone_cnr,"Legetafo","16"
city_et_17,base.et,base.state_et_8,zone_ser,"Adama","17"
city_et_18,base.et,base.state_et_8,zone_ser,"Asela","18"
city_et_19,base.et,base.state_et_8,zone_ser,"Ziway","19"
city_et_20,base.et,base.state_et_8,zone_ser,"Debrezeyt","20"
city_et_21,base.et,base.state_et_8,zone_cwr,"Ambo","21"
city_et_22,base.et,base.state_et_8,zone_cwr,"Weliso","22"
city_et_23,base.et,base.state_et_8,zone_cwr,"Holeta","23"
city_et_24,base.et,base.state_et_8,zone_cwr,"Sebeta","24"
city_et_25,base.et,state_et_12,zone_sr,"Hawassa","25"
city_et_26,base.et,state_et_12,zone_sr,"Dilla","26"
city_et_27,base.et,state_et_12,zone_sr,"Shashemene","27"
city_et_28,base.et,state_et_12,zone_sr,"Bulehora","28"
city_et_29,base.et,base.state_et_10,zone_sswr,"Welayita","29"
city_et_30,base.et,base.state_et_10,zone_sswr,"Werabe","30"
city_et_31,base.et,base.state_et_10,zone_sswr,"Welkite","31"
city_et_32,base.et,base.state_et_10,zone_sswr,"Arbaminch","32"
city_et_33,base.et,base.state_et_11,zone_nr,"Mekele","33"
city_et_34,base.et,base.state_et_11,zone_nr,"Sherie","34"
city_et_35,base.et,base.state_et_11,zone_nr,"Nekemt","35"
city_et_36,base.et,base.state_et_11,zone_nr,"Bako","36"
city_et_37,base.et,base.state_et_6,zone_swwr,"Gambela","37"
city_et_38,base.et,base.state_et_6,zone_swwr,"Newland","38"
city_et_39,base.et,base.state_et_6,zone_swwr,"Lare","39"
city_et_40,base.et,base.state_et_6,zone_swwr,"Methar","40"
city_et_41,base.et,base.state_et_6,zone_swwr,"Pungido","41"
city_et_42,base.et,base.state_et_5,zone_er,"Diredewa","42"
city_et_43,base.et,base.state_et_5,zone_er,"Gelemso","43"
city_et_44,base.et,base.state_et_5,zone_er,"Hirna","44"
city_et_45,base.et,base.state_et_5,zone_er,"Chiro","45"
city_et_46,base.et,base.state_et_1,zone_eaaz,"Fiyelbet","46"
city_et_47,base.et,base.state_et_1,zone_eaaz,"Hayahulet","47"
city_et_48,base.et,base.state_et_1,zone_eaaz,"Bolemichael","48"
city_et_49,base.et,base.state_et_1,zone_naaz,"Megenagna","49"
city_et_50,base.et,base.state_et_1,zone_naaz,"Kara","50"
city_et_51,base.et,base.state_et_1,zone_naaz,"Aratkilo","51"
city_et_52,base.et,base.state_et_1,zone_caaz,"Kazanchis","52"
city_et_53,base.et,base.state_et_1,zone_caaz,"Lideta","53"
city_et_54,base.et,base.state_et_1,zone_caaz,"Cherkos","54"
city_et_55,base.et,base.state_et_1,zone_saaz,"kadisko","55"
city_et_56,base.et,base.state_et_1,zone_saaz,"Bulbula","56"
city_et_57,base.et,base.state_et_1,zone_saaz,"Kera","57"
city_et_58,base.et,base.state_et_1,zone_swaaz,"Jemomicheal","58"
city_et_59,base.et,base.state_et_1,zone_swaaz,"Betel","59"
city_et_60,base.et,base.state_et_1,zone_swaaz,"Alemgena","60"
city_et_61,base.et,base.state_et_1,zone_waaz,"Aratmenta","61"
